TagID,Corner,CameraCombos,NumCameras,Expected_X,Expected_Y,Expected_Z,Calc_X,Error_X,Calc_Y,Error_Y,Calc_Z,Error_Z,Total_Error_cm,Status
21,1,camNorth+camWest,2,211.80,161.00,4.00,210.47,1.33,165.86,4.86,5.62,1.62,5.30,OK
21,1,camEast+camSouth,2,211.80,161.00,4.00,209.36,2.44,159.82,1.18,3.78,0.22,2.72,OK
21,1,camEast+camWest,2,211.80,161.00,4.00,210.98,0.82,160.15,0.85,5.75,1.75,2.11,OK
21,1,camSouth+camWest,2,211.80,161.00,4.00,212.89,1.09,161.39,0.39,4.75,0.75,1.38,OK
21,1,camNorth+camEast+camSouth,3,211.80,161.00,4.00,206.63,5.17,160.67,0.33,4.84,0.84,5.24,OK
21,1,camNorth+camEast+camWest,3,211.80,161.00,4.00,209.85,1.95,163.02,2.02,6.35,2.35,3.66,OK
21,1,camNorth+camSouth+camWest,3,211.80,161.00,4.00,208.60,3.20,162.13,1.13,4.48,0.48,3.42,OK
21,1,camEast+camSouth+camWest,3,211.80,161.00,4.00,211.08,0.72,160.45,0.55,4.76,0.76,1.18,OK
21,1,camNorth+camEast+camSouth+camWest,4,211.80,161.00,4.00,209.04,2.76,161.57,0.57,5.11,1.11,3.03,OK
21,2,camNorth+camEast,2,233.30,161.00,4.00,230.50,2.80,163.07,2.07,7.46,3.46,4.91,OK
21,2,camNorth+camSouth,2,233.30,161.00,4.00,225.27,8.03,159.39,1.61,3.26,0.74,8.23,OK
21,2,camNorth+camWest,2,233.30,161.00,4.00,232.60,0.70,165.69,4.69,5.67,1.67,5.02,OK
21,2,camEast+camSouth,2,233.30,161.00,4.00,231.48,1.82,160.03,0.97,3.91,0.09,2.07,OK
21,2,camEast+camWest,2,233.30,161.00,4.00,233.08,0.22,160.49,0.51,5.95,1.95,2.03,OK
21,2,camSouth+camWest,2,233.30,161.00,4.00,234.77,1.47,161.47,0.47,4.88,0.88,1.78,OK
21,2,camNorth+camEast+camSouth,3,233.30,161.00,4.00,229.08,4.22,160.83,0.17,4.88,0.88,4.31,OK
21,2,camNorth+camEast+camWest,3,233.30,161.00,4.00,232.06,1.24,163.08,2.08,6.36,2.36,3.38,OK
21,2,camNorth+camSouth+camWest,3,233.30,161.00,4.00,230.88,2.42,162.18,1.18,4.61,0.61,2.76,OK
21,2,camEast+camSouth+camWest,3,233.30,161.00,4.00,233.11,0.19,160.66,0.34,4.91,0.91,0.99,OK
21,2,camNorth+camEast+camSouth+camWest,4,233.30,161.00,4.00,231.28,2.02,161.69,0.69,5.19,1.19,2.44,OK
21,3,camNorth+camEast,2,233.30,182.50,4.00,230.79,2.51,185.57,3.07,7.78,3.78,5.48,OK
21,3,camNorth+camSouth,2,233.30,182.50,4.00,224.20,9.10,180.45,2.05,2.91,1.09,9.39,OK
